id,distribution,duration,t2y,t5y,t10y,t25y,t50y,t100y,t200y,data_years,name,x_97,y_97,org
467060,LPT3,48,373.3366163,495.8013048,581.0228017,693.5431683,781.0020499,871.6715408,966.2928381,32,蘇澳,336828.45,2721378.96,中央氣象局
467060,LPT3,72,449.4439418,594.526493,689.8471743,809.7868012,898.992266,988.2303875,1078.223183,32,蘇澳,336828.45,2721378.96,中央氣象局
467080,LPT3,1,48.9380924,63.47820052,72.80866263,84.33601467,92.77297188,101.1081231,109.4162541,62,宜蘭,326507.77,2739849.77,中央氣象局
467080,LPT3,3,94.90730319,127.3719503,148.2201382,173.9085799,192.6330331,211.0523311,229.3247648,62,宜蘭,326507.77,2739849.77,中央氣象局
467080,LPT3,6,129.8795184,178.5168202,210.8314601,251.7371817,282.276039,312.8877612,343.7965611,62,宜蘭,326507.77,2739849.77,中央氣象局
467080,LPT3,12,172.1647352,241.0751862,287.8666331,348.1182391,393.7805227,440.0923747,487.3698556,62,宜蘭,326507.77,2739849.77,中央氣象局
467080,LPT3,24,220.48038,309.0293616,374.1231729,463.9225668,536.4825937,614.0549566,697.3903075,62,宜蘭,326507.77,2739849.77,中央氣象局
467080,LPT3,48,284.7367526,399.773601,481.9933997,592.683048,680.115165,771.8518726,868.6252158,62,宜蘭,326507.77,2739849.77,中央氣象局
467080,LPT3,72,309.5966962,444.2305787,549.0725368,700.9221785,829.1979849,971.4175624,1129.670383,62,宜蘭,326507.77,2739849.77,中央氣象局
467110,LN3,1,38.38732614,51.52716601,59.27695287,68.27658285,74.52534978,80.45746528,86.15889556,11,金門,-24984.03,2702820.92,中央氣象局
467110,LN3,3,69.05585151,87.82305733,98.75624232,111.3406798,120.0133901,128.2006601,136.0296989,11,金門,-24984.03,2702820.92,中央氣象局
467110,LN3,6,90.56956821,122.942818,143.3040716,168.0724458,185.955952,203.4381479,220.6931601,11,金門,-24984.03,2702820.92,中央氣象局
467110,LN3,12,104.1393774,147.633464,180.2951196,225.533672,261.9476893,300.579149,341.6463496,11,金門,-24984.03,2702820.92,中央氣象局
467110,LN3,24,126.6549095,173.9907356,206.4549784,248.5163109,280.5363912,313.1077725,346.4368322,11,金門,-24984.03,2702820.92,中央氣象局
467110,LN3,48,137.1797602,182.5586404,214.2529048,255.8685299,287.9053024,320.7689708,354.6547682,11,金門,-24984.03,2702820.92,中央氣象局
467110,LN3,72,146.6471136,185.6112054,214.0084696,252.4807214,282.8826444,314.6902586,348.0791576,11,金門,-24984.03,2702820.92,中央氣象局
467300,LPT3,1,37.3419915,53.57541084,67.03676017,87.6181113,105.8995938,127.0393436,151.5565826,50,東吉島,113653.84,2573368.06,中央氣象局
467300,LPT3,3,67.17766077,96.01846659,119.6702894,155.489175,187.0271433,223.2290515,264.9132491,50,東吉島,113653.84,2573368.06,中央氣象局
467300,LPT3,6,87.05549886,130.709567,165.2144764,215.7361749,258.7873033,306.8192523,360.5577618,50,東吉島,113653.84,2573368.06,中央氣象局
467300,LPT3,12,110.7647488,169.6568639,215.4766683,281.5172146,336.9164735,397.8835824,465.1560316,50,東吉島,113653.84,2573368.06,中央氣象局
467300,LPT3,24,136.4830938,206.9938464,263.6455511,347.7637774,420.3657666,502.2230349,594.7410468,50,東吉島,113653.84,2573368.06,中央氣象局
467300,LPT3,48,161.978086,243.1879155,309.7750698,410.5071448,499.016327,600.349185,716.6442431,50,東吉島,113653.84,2573368.06,中央氣象局
467300,LPT3,72,177.7492271,262.6772488,331.7758337,435.6540631,526.4342205,629.926789,748.2336339,50,東吉島,113653.84,2573368.06,中央氣象局
467350,LPT3,1,38.97293058,57.27542227,73.28374502,98.91962887,122.6885326,151.1833941,185.4265108,55,澎湖,103310.32,2607640.33,中央氣象局
467350,LPT3,3,61.64561302,94.38375632,125.5150783,179.2338951,232.649086,300.6355604,387.3564148,55,澎湖,103310.32,2607640.33,中央氣象局
467350,LPT3,6,83.14717197,130.225571,172.1080385,240.1829608,304.1097429,381.4983804,475.3140304,55,澎湖,103310.32,2607640.33,中央氣象局
467350,LPT3,12,116.987384,177.0533586,221.9642636,284.4738143,335.2394737,389.6318391,448.1102347,55,澎湖,103310.32,2607640.33,中央氣象局
467350,LPT3,24,148.2804786,217.49362,262.2303446,316.9767075,356.3890235,394.6369818,432.0037326,55,澎湖,103310.32,2607640.33,中央氣象局
467350,LPT3,48,177.5048884,252.6372477,297.6716885,349.3532154,384.4014312,416.8104283,447.0386504,55,澎湖,103310.32,2607640.33,中央氣象局
467350,LPT3,72,194.7301355,270.1794196,312.0143147,356.8920707,385.4347012,410.4770869,432.6702504,55,澎湖,103310.32,2607640.33,中央氣象局
467410,PT3,1,55.13188672,71.75769229,82.07803296,94.40284917,103.1245278,111.5001201,119.6198069,107,臺南,168476.32,2543751.14,中央氣象局
467410,PT3,3,100.5947555,130.0801337,146.3438892,164.3296173,176.3062061,187.3224667,197.6091647,107,臺南,168476.32,2543751.14,中央氣象局
467410,PT3,6,117.5931053,163.3927966,191.113174,223.696366,246.4741788,268.1635045,289.0381072,107,臺南,168476.32,2543751.14,中央氣象局
467410,PT3,12,171.9178751,234.0187863,271.4702184,315.3908663,346.0398468,375.188032,403.2114161,107,臺南,168476.32,2543751.14,中央氣象局
467410,PT3,24,223.9749658,314.1466248,371.8266089,441.9941443,492.3479813,541.1708596,588.8899201,107,臺南,168476.32,2543751.14,中央氣象局
467410,PT3,48,291.2437927,413.2763476,490.3422561,583.3607625,649.7198538,713.8016058,776.2203724,107,臺南,168476.32,2543751.14,中央氣象局
467410,PT3,72,339.9100439,483.4329502,571.5149045,675.9589581,749.4672487,819.7926982,887.7499783,107,臺南,168476.32,2543751.14,中央氣象局
467420,LPT3,1,56.47699037,69.72984997,77.69645311,87.0559469,93.6105884,99.86829393,105.9101405,22,永康,171772.91,2548739.21,中央氣象局
467420,LPT3,3,103.1504009,128.8706088,142.994407,158.3345065,168.3072882,177.2674561,185.4250956,22,永康,171772.91,2548739.21,中央氣象局
467420,LPT3,6,131.282871,173.4068776,203.6840296,244.7531546,277.4731569,312.0846394,348.914409,22,永康,171772.91,2548739.21,中央氣象局
467420,LPT3,12,184.4119715,244.0146339,281.7589743,327.7798154,361.022329,393.4972351,425.5082053,22,永康,171772.91,2548739.21,中央氣象局
467420,LPT3,24,255.1528446,339.5517517,386.5539074,437.646649,470.7077906,500.2061585,526.8269494,22,永康,171772.91,2548739.21,中央氣象局
467420,LPT3,48,299.8636474,419.9012655,504.3445626,616.4943714,703.9776752,794.8339987,889.7375749,22,永康,171772.91,2548739.21,中央氣象局
467420,LPT3,72,331.8502615,476.7066642,580.8305417,721.4466894,832.7322871,949.6142,1072.983764,22,永康,171772.91,2548739.21,中央氣象局
467440,LN3,1,54.76293407,74.39543101,87.54625189,104.2936014,116.8600917,129.5048325,142.3168221,72,高雄,179627.4,2496387.61,中央氣象局
467440,LN3,3,102.6252859,149.7290823,183.2922479,228.013524,262.8663088,298.9508333,336.4711633,72,高雄,179627.4,2496387.61,中央氣象局
467440,LN3,6,132.351951,199.804954,250.8963343,322.1136789,379.7440843,441.1295835,506.6233794,72,高雄,179627.4,2496387.61,中央氣象局
467440,LN3,12,182.8307855,277.6318625,345.2830476,435.5250002,505.9188016,578.8513482,654.733979,72,高雄,179627.4,2496387.61,中央氣象局
467440,LN3,24,239.5041677,354.1507234,429.9937642,525.7028356,596.9722461,668.2747579,740.1449219,72,高雄,179627.4,2496387.61,中央氣象局
467440,LN3,48,304.6602167,444.4972342,534.3957821,645.504495,726.80746,807.087028,887.0474683,72,高雄,179627.4,2496387.61,中央氣象局
467440,LN3,72,354.8715288,507.0415428,602.5869991,718.6700407,802.3987721,884.1850913,964.8517564,72,高雄,179627.4,2496387.61,中央氣象局
467480,LPT3,1,56.23274433,79.24615672,98.71442176,128.9764871,156.274282,188.2589485,225.8484055,46,嘉義,192079.17,2599311.6,中央氣象局
467480,LPT3,3,93.29932421,131.8605187,163.7972902,212.5641352,255.836144,305.8381466,363.7981149,46,嘉義,192079.17,2599311.6,中央氣象局
467480,LPT3,6,124.4923512,179.8545753,222.5596105,283.8879162,335.2771136,391.8612589,454.3949305,46,嘉義,192079.17,2599311.6,中央氣象局
467480,LPT3,12,164.0710446,247.8619243,312.0233911,403.2889789,478.9510925,561.4310265,651.6223686,46,嘉義,192079.17,2599311.6,中央氣象局
467480,LPT3,24,211.0058813,329.8059141,425.9651781,569.3962638,693.5680991,833.8165383,992.515183,46,嘉義,192079.17,2599311.6,中央氣象局
